2025-07-27 22:29:19.137 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 22:29:19.210 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.210 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.211 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.211 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.211 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.211 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.212 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.212 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.212 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.212 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.212 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.213 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.213 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.213 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.213 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.213 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.214 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.215 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.216 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.216 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.216 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.216 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.216 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.216 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.217 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.217 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.217 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.217 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.217 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.218 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.219 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.220 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-27 22:29:19.220 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.220 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.220 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.220 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.220 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.221 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.222 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.223 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.224 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.224 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.224 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.224 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.224 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.225 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.225 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.225 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.225 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.225 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.225 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.226 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.227 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.228 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.229 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.229 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.229 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.229 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.229 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
