2025-07-26 13:48:35.064 [main] INFO  [6e0c013c-d805-4336-9116-69f6dcefedda] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.177 [main] INFO  [76d7c95a-bc82-46c5-8fc6-90ff55230bea] d.m.r.core.engine.config.RulesEngine - Rule 'Premium Eligibility' evaluated to true in 0.00ms
2025-07-26 13:48:35.178 [main] INFO  [5ddca4d2-09e0-4167-a659-4ed23f22c969] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.179 [main] INFO  [5ddca4d2-09e0-4167-a659-4ed23f22c969] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Custom Validation
2025-07-26 13:48:35.180 [main] INFO  [5ddca4d2-09e0-4167-a659-4ed23f22c969] d.m.r.core.engine.config.RulesEngine - Rule 'Custom Validation' evaluated to true in 0.00ms
2025-07-26 13:48:35.193 [main] INFO  [978df2d0-e87a-47d0-9eac-509409469e41] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.193 [main] INFO  [978df2d0-e87a-47d0-9eac-509409469e41] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: username Length Check
2025-07-26 13:48:35.194 [main] INFO  [978df2d0-e87a-47d0-9eac-509409469e41] d.m.r.core.engine.config.RulesEngine - Rule 'username Length Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.194 [main] INFO  [978df2d0-e87a-47d0-9eac-509409469e41] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: username Length Check
2025-07-26 13:48:35.195 [main] INFO  [978df2d0-e87a-47d0-9eac-509409469e41] d.m.r.core.engine.config.RulesEngine - Rule 'username Length Check' evaluated to false in 1.00ms
2025-07-26 13:48:35.207 [main] INFO  [99ebba0a-cd33-4150-a41e-54d36b387caf] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.208 [main] INFO  [99ebba0a-cd33-4150-a41e-54d36b387caf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.209 [main] INFO  [99ebba0a-cd33-4150-a41e-54d36b387caf] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-26 13:48:35.209 [main] INFO  [99ebba0a-cd33-4150-a41e-54d36b387caf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.209 [main] INFO  [99ebba0a-cd33-4150-a41e-54d36b387caf] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.210 [main] INFO  [cb0a44ab-4ad5-4545-a623-4588abca77d4] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.213 [main] INFO  [94f274d3-581a-4645-81f8-59a0c29e2924] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.219 [main] INFO  [9bc2b6f4-5a53-4d98-b51a-f3ba4f193a2a] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.221 [main] INFO  [b1426bb8-3d5b-4143-bc87-d9fbf2172efb] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.223 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.223 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.234 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 10.00ms
2025-07-26 13:48:35.234 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.235 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-26 13:48:35.235 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.236 [main] INFO  [9fca9a9c-744c-4e3c-ac67-ae7acd4a955b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.236 [main] INFO  [fe0c380e-4382-45da-aa42-2898e80d709f] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.236 [main] INFO  [fe0c380e-4382-45da-aa42-2898e80d709f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: adult
2025-07-26 13:48:35.237 [main] INFO  [fe0c380e-4382-45da-aa42-2898e80d709f] d.m.r.core.engine.config.RulesEngine - Rule 'adult' evaluated to true in 0.00ms
2025-07-26 13:48:35.237 [main] INFO  [fe0c380e-4382-45da-aa42-2898e80d709f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: senior
2025-07-26 13:48:35.237 [main] INFO  [fe0c380e-4382-45da-aa42-2898e80d709f] d.m.r.core.engine.config.RulesEngine - Rule 'senior' evaluated to false in 0.00ms
2025-07-26 13:48:35.238 [main] INFO  [2a211215-a21d-48dc-9ef2-75591700b160] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.240 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.241 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.242 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.242 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.242 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.242 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.242 [main] INFO  [40f8b643-f062-4d18-b96b-552bfa5f1d66] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.243 [main] INFO  [ca1b1105-6021-411b-beec-eb0616c5aaa1] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.243 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.244 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.244 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.244 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.245 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-26 13:48:35.245 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.245 [main] INFO  [4a5ac9be-98ef-4910-a66d-fb927496159f] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.246 [main] INFO  [dd98da30-3ba6-4031-8637-05462121b7c5] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.246 [main] INFO  [64e8dd66-1f42-47de-82e8-f5e12f885563] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.246 [main] INFO  [64e8dd66-1f42-47de-82e8-f5e12f885563] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.247 [main] INFO  [64e8dd66-1f42-47de-82e8-f5e12f885563] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.247 [main] INFO  [64e8dd66-1f42-47de-82e8-f5e12f885563] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.247 [main] INFO  [64e8dd66-1f42-47de-82e8-f5e12f885563] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.248 [main] INFO  [adc8a814-df3a-49cd-af76-9f0559b470ce] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.248 [main] INFO  [246ab5e6-abe7-4851-9984-5ccec32c593f] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.248 [main] INFO  [246ab5e6-abe7-4851-9984-5ccec32c593f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.248 [main] INFO  [246ab5e6-abe7-4851-9984-5ccec32c593f] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.248 [main] INFO  [246ab5e6-abe7-4851-9984-5ccec32c593f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.248 [main] INFO  [246ab5e6-abe7-4851-9984-5ccec32c593f] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.249 [main] INFO  [9ffa70c3-6bfd-4a7b-abf8-2741498b54b3] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.249 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.249 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.250 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.250 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.250 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.250 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.250 [main] INFO  [f9b728df-982a-47bc-88d5-64afa9788928] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.251 [main] INFO  [0751d1e6-cf56-4d3a-955a-765b0f02c639] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.251 [main] INFO  [0751d1e6-cf56-4d3a-955a-765b0f02c639] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: adult
2025-07-26 13:48:35.251 [main] INFO  [0751d1e6-cf56-4d3a-955a-765b0f02c639] d.m.r.core.engine.config.RulesEngine - Rule 'adult' evaluated to true in 0.00ms
2025-07-26 13:48:35.251 [main] INFO  [0751d1e6-cf56-4d3a-955a-765b0f02c639] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: has-email
2025-07-26 13:48:35.252 [main] INFO  [0751d1e6-cf56-4d3a-955a-765b0f02c639] d.m.r.core.engine.config.RulesEngine - Rule 'has-email' evaluated to true in 1.00ms
2025-07-26 13:48:35.252 [main] INFO  [8314637d-5b5e-443d-836c-ab520074fda1] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.252 [main] INFO  [8314637d-5b5e-443d-836c-ab520074fda1] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.252 [main] WARN  [8314637d-5b5e-443d-836c-ab520074fda1] d.m.r.core.engine.config.RulesEngine - Missing parameters for rule 'Check': [invalid]
2025-07-26 13:48:35.253 [main] INFO  [1d4e2ad3-2c01-46c6-9ff4-54ee19ae2ad9] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.253 [main] INFO  [ac2d4579-2781-4eac-a630-745183876b83] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.253 [main] INFO  [ac2d4579-2781-4eac-a630-745183876b83] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-26 13:48:35.253 [main] INFO  [ac2d4579-2781-4eac-a630-745183876b83] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-26 13:48:35.254 [main] INFO  [cdd3b122-38ff-437f-b8a7-54005ce5369a] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.254 [main] INFO  [cdd3b122-38ff-437f-b8a7-54005ce5369a] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: adult
2025-07-26 13:48:35.254 [main] INFO  [cdd3b122-38ff-437f-b8a7-54005ce5369a] d.m.r.core.engine.config.RulesEngine - Rule 'adult' evaluated to true in 0.00ms
2025-07-26 13:48:35.255 [main] INFO  [83402023-58d3-4995-bd98-87ebe5d7e9ed] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.260 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.273 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.274 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-26 13:48:35.274 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.274 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-26 13:48:35.275 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.275 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-26 13:48:35.276 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.276 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-26 13:48:35.276 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.277 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-26 13:48:35.278 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.278 [main] INFO  [6ba1cb29-e439-4fca-a697-a7a957aa6b49] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-26 13:48:35.279 [main] INFO  [7ecf9e13-39db-4bf6-9471-f3d84897ab42] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.281 [main] INFO  [7ecf9e13-39db-4bf6-9471-f3d84897ab42] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Premium Eligibility
2025-07-26 13:48:35.284 [main] INFO  [7ecf9e13-39db-4bf6-9471-f3d84897ab42] d.m.r.core.engine.config.RulesEngine - Rule 'Premium Eligibility' evaluated to true in 3.00ms
2025-07-26 13:48:35.286 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.287 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.288 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 1.00ms
2025-07-26 13:48:35.289 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.289 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-26 13:48:35.290 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.291 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 1.00ms
2025-07-26 13:48:35.291 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.291 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-26 13:48:35.292 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-26 13:48:35.292 [main] INFO  [98178ee1-73e6-412f-a6ef-487f76efab7d] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-26 13:48:35.293 [main] INFO  [f5f9f44b-9e64-4e85-9369-13927df11ef6] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.294 [main] INFO  [f5f9f44b-9e64-4e85-9369-13927df11ef6] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Loan Eligibility
2025-07-26 13:48:35.294 [main] INFO  [f5f9f44b-9e64-4e85-9369-13927df11ef6] d.m.r.core.engine.config.RulesEngine - Rule 'Loan Eligibility' evaluated to true in 0.00ms
