2025-07-27 21:54:49.242 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.376 [main] INFO  [07c5edb2-4114-4e2f-8a49-65502555f772] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.377 [main] INFO  [32c52c91-70f4-4198-bcb9-a57727a33a94] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.377 [main] INFO  [32c52c91-70f4-4198-bcb9-a57727a33a94] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.378 [main] INFO  [32c52c91-70f4-4198-bcb9-a57727a33a94] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.378 [main] INFO  [32c52c91-70f4-4198-bcb9-a57727a33a94] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.379 [main] INFO  [32c52c91-70f4-4198-bcb9-a57727a33a94] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.379 [main] INFO  [ecacfd8e-a5bb-4be5-a1c4-dcb3b174eb9e] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.379 [main] INFO  [71b77f1a-57ce-4dc2-8566-9bf2d52ef1c0] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.379 [main] INFO  [71b77f1a-57ce-4dc2-8566-9bf2d52ef1c0] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.379 [main] INFO  [71b77f1a-57ce-4dc2-8566-9bf2d52ef1c0] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.380 [main] INFO  [71b77f1a-57ce-4dc2-8566-9bf2d52ef1c0] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.380 [main] INFO  [71b77f1a-57ce-4dc2-8566-9bf2d52ef1c0] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.381 [main] INFO  [37734e4b-ec99-4afb-b1f5-e5e74c866edc] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.381 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.381 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.382 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 1.00ms
2025-07-27 21:54:49.382 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.382 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.382 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.382 [main] INFO  [c099cdcd-2671-4dfe-8eb1-36bad95a56db] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.383 [main] INFO  [0e2a568d-e2e2-45d8-8316-32413af7b00b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.383 [main] INFO  [0e2a568d-e2e2-45d8-8316-32413af7b00b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: adult
2025-07-27 21:54:49.384 [main] INFO  [0e2a568d-e2e2-45d8-8316-32413af7b00b] d.m.r.core.engine.config.RulesEngine - Rule 'adult' evaluated to true in 0.00ms
2025-07-27 21:54:49.384 [main] INFO  [0e2a568d-e2e2-45d8-8316-32413af7b00b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: has-email
2025-07-27 21:54:49.384 [main] INFO  [0e2a568d-e2e2-45d8-8316-32413af7b00b] d.m.r.core.engine.config.RulesEngine - Rule 'has-email' evaluated to true in 0.00ms
2025-07-27 21:54:49.385 [main] INFO  [406418f8-8890-4e1f-bbda-918efff83138] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.385 [main] INFO  [406418f8-8890-4e1f-bbda-918efff83138] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.387 [main] WARN  [406418f8-8890-4e1f-bbda-918efff83138] d.m.r.core.engine.config.RulesEngine - [TEST-EXPECTED-WARNING] Missing parameters for rule 'Check': [invalid]
2025-07-27 21:54:49.390 [main] INFO  [06f8b9f4-00f2-41a5-b9da-e30b20335228] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.390 [main] INFO  [abb61135-138e-4198-92e1-a9021805724d] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.390 [main] INFO  [abb61135-138e-4198-92e1-a9021805724d] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.391 [main] INFO  [abb61135-138e-4198-92e1-a9021805724d] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.391 [main] INFO  [67262f31-46ea-4e31-8239-f4ed5a2cdf8f] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.391 [main] INFO  [67262f31-46ea-4e31-8239-f4ed5a2cdf8f] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: adult
2025-07-27 21:54:49.392 [main] INFO  [67262f31-46ea-4e31-8239-f4ed5a2cdf8f] d.m.r.core.engine.config.RulesEngine - Rule 'adult' evaluated to true in 1.00ms
2025-07-27 21:54:49.392 [main] INFO  [e867da25-71cc-4d37-ad43-aae7b8fed08e] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.398 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.406 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.406 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.407 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.407 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.407 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.408 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.408 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.408 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.409 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.409 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-27 21:54:49.409 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.410 [main] INFO  [8272a304-3b16-4e37-bd3a-29be38ac20d8] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-27 21:54:49.410 [main] INFO  [59f2641b-09a4-4988-9be9-6a8aeac60cb6] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.411 [main] INFO  [59f2641b-09a4-4988-9be9-6a8aeac60cb6] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Premium Eligibility
2025-07-27 21:54:49.413 [main] INFO  [59f2641b-09a4-4988-9be9-6a8aeac60cb6] d.m.r.core.engine.config.RulesEngine - Rule 'Premium Eligibility' evaluated to true in 1.00ms
2025-07-27 21:54:49.414 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.415 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.415 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.416 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.416 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.416 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.417 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to true in 0.00ms
2025-07-27 21:54:49.417 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.418 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 1.00ms
2025-07-27 21:54:49.419 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Simple Condition
2025-07-27 21:54:49.419 [main] INFO  [0f0d402e-02af-4566-9964-adc8952812a1] d.m.r.core.engine.config.RulesEngine - Rule 'Simple Condition' evaluated to false in 0.00ms
2025-07-27 21:54:49.419 [main] INFO  [b912d145-7662-468d-be5a-13d8084a8f33] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.420 [main] INFO  [b912d145-7662-468d-be5a-13d8084a8f33] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Loan Eligibility
2025-07-27 21:54:49.420 [main] INFO  [b912d145-7662-468d-be5a-13d8084a8f33] d.m.r.core.engine.config.RulesEngine - Rule 'Loan Eligibility' evaluated to true in 0.00ms
2025-07-27 21:54:49.420 [main] INFO  [b912d145-7662-468d-be5a-13d8084a8f33] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Loan Eligibility 2
2025-07-27 21:54:49.420 [main] INFO  [b912d145-7662-468d-be5a-13d8084a8f33] d.m.r.core.engine.config.RulesEngine - Rule 'Loan Eligibility 2' evaluated to false in 0.00ms
2025-07-27 21:54:49.421 [main] INFO  [c83dc8f8-9b96-4fa8-961b-8eb4163a690c] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.423 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.423 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Required Field Check: name
2025-07-27 21:54:49.424 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Rule 'Required Field Check: name' evaluated to true in 0.00ms
2025-07-27 21:54:49.424 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Required Field Check: email
2025-07-27 21:54:49.425 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Rule 'Required Field Check: email' evaluated to true in 1.00ms
2025-07-27 21:54:49.425 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Required Field Check: name
2025-07-27 21:54:49.425 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Rule 'Required Field Check: name' evaluated to true in 0.00ms
2025-07-27 21:54:49.426 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Required Field Check: email
2025-07-27 21:54:49.426 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Rule 'Required Field Check: email' evaluated to false in 0.00ms
2025-07-27 21:54:49.426 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Required Field Check: name
2025-07-27 21:54:49.427 [main] INFO  [3268f8d6-0d12-4f45-b12f-e278bdd17ba9] d.m.r.core.engine.config.RulesEngine - Rule 'Required Field Check: name' evaluated to false in 0.00ms
2025-07-27 21:54:49.427 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.428 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Age Eligibility Check
2025-07-27 21:54:49.428 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Rule 'Age Eligibility Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.428 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Age Eligibility Check
2025-07-27 21:54:49.428 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Rule 'Age Eligibility Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.429 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Age Eligibility Check
2025-07-27 21:54:49.429 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Rule 'Age Eligibility Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.429 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Age Eligibility Check
2025-07-27 21:54:49.429 [main] INFO  [13b973c7-e04a-4f0c-a065-22405f6adb8b] d.m.r.core.engine.config.RulesEngine - Rule 'Age Eligibility Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.430 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.431 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Amount Range Check
2025-07-27 21:54:49.431 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Rule 'Amount Range Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.432 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Amount Range Check
2025-07-27 21:54:49.432 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Rule 'Amount Range Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.432 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Amount Range Check
2025-07-27 21:54:49.432 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Rule 'Amount Range Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.434 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Amount Range Check
2025-07-27 21:54:49.434 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Rule 'Amount Range Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.434 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Amount Range Check
2025-07-27 21:54:49.434 [main] INFO  [779664e5-f153-4e79-b6dc-854db47cceaf] d.m.r.core.engine.config.RulesEngine - Rule 'Amount Range Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.435 [main] INFO  [333e6a02-af2c-4971-b8d4-97492b79b0b3] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
